cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
33098658,2,,AVENIDA,JABAQUARA,2979,MIRANDOPOLIS,04045004,SP,7107,6619399,
34094342,2,,RUA,PEDRO SOARES DE ANDRADE,600 A,VILA ROSARIO,08021040,SP,7107,9491000,
33592510,2,,AVENIDA,BRIGADEIRO FARIA LIMA,3015,JARDIM PAULISTANO,01452000,SP,7107,0710301,0990401
34028316,2,ECT/DR/SPM CENTRO LOGISTICA INTEGRADA JAGUARE.,RUA,FRIEDRICH VON VOITH,111,JARAGUA,02995000,SP,7107,5310501,
32285454,2,,RUA,"ERASMO BRAGA, EST ROD.OSASCO",1500,PRESIDENTE ALTINO,06213008,SP,6789,4921302,
33000167,2,PETROBRAS REFINARIA PRESIDENTE BERNARDES,PRACA,MAL STENIO C DE A LIMA,1,RAIZ DA SERRA,11555900,SP,6371,1921700,"3520401,2021500"
33016338,2,,AVENIDA,ELOY ARGEMIRO CARNIATTO,315,NUCLEO RESIDENCIAL DOUTOR LUIZ DE MATTOS PIMENTA,13255600,SP,6569,4684299,"4649499,4673700,4681803,4693100,4742300,4759899,4789099"
33017310,2,,AVENIDA,DR CARLOS GRIMALDI,1701,FAZ. SAO QUIRINO,13091000,SP,6291,6920602,
33041260,2,,RUA,VOLUNTARIOS DA PATRIA,1920,SANTANA,02010600,SP,7107,4753900,4713004
33048513,2,,RUA,WERNER VON SIEMENS,111,LAPA DE BAIXO,05069900,SP,7107,7210000,"7120100,8211300"
33050196,2,,RUA,MAJOR FRANCISCO GANDRA,291,BONFIM PAULISTA,14030549,SP,6969,3512300,
33050196,2,,RUA,RUBENS DE MELLO SOUZA,03-40,PARQUE JARDIM EUROPA,17017450,SP,6219,3512300,
33050196,2,,RUA,ANTENOR LARA CAMPOS,453,FERRAROPOLIS,17400102,SP,6435,3512300,
33050196,2,,RUA,SAO SILVESTRE,S/N,VILA SAO JOAO,16370000,SP,6933,3512300,
33050196,2,,AVENIDA,SAUDADES,1320,BAIRRO SILVESTRE,13903050,SP,6137,3512300,
33050196,2,,RUA,SAO SIMAO,165,BAIRRO CARIOBINHA,13472360,SP,6131,3512300,
33050196,2,,RUA,ANGELO ONGARO,465,CENTRO,13170024,SP,7149,3512300,
33050196,2,,ESTRADA,MUNICIPAL ALTAIR SP 322,S/N,ZONA RURAL,15430000,SP,6117,3512300,
33050196,2,,RUA,FLORIANO PEIXOTO,811,CENTRO,16290000,SP,6255,3512300,
33050196,2,,RUA,DEZESSEIS,1040,CENTRO,14790000,SP,6449,3512300,
33050196,2,,ESTRADA,BRAUNA GLICERIO,S N,ZONA RURAL,16290000,SP,6255,3512300,
33050196,2,,AVENIDA,CAVALHEIRO P INNECHI,888,JD INDEPENDENCIA,14076010,SP,6969,3512300,
33050196,2,,RUA,FELIPE DOS SANTOS,385,CENTRO,16230000,SP,6855,3512300,
33050196,2,,AVENIDA,ALVARO DA CUNHA BARROS,855,CENTRO,14530000,SP,6695,3512300,
33050196,2,CPFL,AVENIDA,NARCIZA CHENIZI OMETTO,SN,JARDIM DAS DRACENAS,17340000,SP,6205,3512300,
33050196,2,,RODOVIA,CAMPINAS AGUAS DA PRATA,S/N,ZONA RURAL,13990000,SP,6865,3514000,
33050196,2,,RUA,JACY TAVARES BOECHAT,80,,17540000,SP,6775,3512300,
