cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
37233270,2,,RUA,FIDENCIO RAMOS,213,VILA OLIMPIA,04551010,SP,7107,8211300,
37934161,2,,RUA,SALVIANO JOSE DA SILVA,85,ELDORADO,12238573,SP,7099,4930202,4930201
40915877,2,,SITIO,KALISA,S/N,ZONA RURAL,14580000,SP,6455,0134200,"0111302,0115600,0121101,0133499,0111399"
37683239,2,,FAZENDA,SANTO ANDRE,S/N,ZONA RURAL,19500000,SP,6685,0116401,
37683239,2,,FAZENDA,VOLTA GRANDE,S/N,DA REPRESA,19500000,SP,6685,0116401,
37683239,2,,FAZENDA,BOA VISTA,S/N,ZONA RURAL,19500000,SP,6685,0116401,
40299810,2,,AVENIDA,OSWALDO CRUZ,1641,PARQUE ESTUARIO (VICENTE DE CARVALHO),11460100,SP,6475,4729602,"4721102,4729699,5611203"
40497101,1,DONATEKA EMPREENDIMENTOS,RUA,JOSE RODRIGUES DA CUNHA,0,RESSACA,12945003,SP,6181,4110700,4120400
37680625,2,SANAZAR 103,RUA,SANAZAR MARDIROS,103,PRESIDENTE ALTINO,06213070,SP,6789,4110700,
39252428,1,,ESTRADA,MUNICIPAL FAZENDA TAMBURI,SN1,FAZENDA TAMBURI,13053550,SP,6291,0133499,
36736711,1,SAUDE DA GENTE,AVENIDA,PAULISTA,453,BELA VISTA,01311907,SP,7107,7319002,"6311900,7020400"
37680844,1,,RUA,CERRO CORA,2175,VILA ROMANA,05061450,SP,7107,6462000,"4669999,7112000"
37963678,1,,AVENIDA,DAS NACOES UNIDAS,14401,VILA GERTRUDES,04794000,SP,7107,6462000,
37909874,1,RESIDENCIAL VELOSTER II,RUA,LUZIA RUTH DA SILVA,159,JARDIM OBELISCO,08565310,SP,6897,6822600,"4110700,4120400"
38214450,1,,RUA,DOUTOR ERALDO AURELIO FRANZESE,62,JARDIM PAIQUERE,13271608,SP,7225,6462000,
38152215,1,ALLUPE,RUA,BARTOLOMEU DE GUSMAO,290,VILA MARIANA,04111020,SP,7107,6319400,"3329599,4221904,4221905,6022502,6110803,6110899,6120501,6130200,6141800,6143400,6190602,6190699,6202300,6203100,6209100,6311900,7490104,7740300,8599604,9512600"
36714700,1,,SITIO,NINHO DAS AGUIAS,SN,FEIJAO CRU,13770000,SP,6275,0134200,"0121101,0151201,0151202,0155505,0111302,0155504,0155503"
39309030,2,,SITIO,ESPERANCA,1,AGUA DO PINHEIRO,19819899,SP,6179,0115600,"0111302,0111303,0111399"
39301727,1,ARIAN ALIMENTOS,RUA,SYLVIO DE CAMPOS FILHO,20,PARQUE INDUSTRIAL JOAO BATISTA CARUSO,13848674,SP,6715,1091102,
39044235,2,,AVENIDA,PROF ABRAAO DE MORAIS,2015,SAUDE,04123011,SP,7107,4511101,"4511102,4520001,4520002,7490104,7711000"
37177179,1,,SITIO,BOM JESUS,S/N,RURAL,17580000,SP,6901,0151201,
36936977,2,,ESTANCIA,AROEIRA,SN,I PROGRESSO,17630000,SP,0790,0119906,0116401
37949311,1,,RUA,GUILHERME DE ALMEIDA,2-55,VILA CIDADE UNIVERSITARIA,17012500,SP,6219,6911701,
39598716,2,,1A AVENIDA,"AVENIDA SELMA PARADA, 201",201,JARDIM MADALENA,13091904,SP,6291,6920602,7020400
41093653,1,,RUA,WERNER VON SIEMENS,111,LAPA DE BAIXO,05069900,SP,7107,3511501,"4669999,7119799"
39654015,2,,AREA,CHACARA PRIMAVERA,SN,AREA RURAL DE CERQUEIRA CESAR,18769899,SP,6329,0151202,"0151201,0111302,0115600,0119908,0119999,0152103"
37599646,1,,AVENIDA,TOYOTA,9005,ITAVUVU,18079755,SP,7145,7711000,"7490104,8299799"
38135076,2,SP10 ESTANDE,AVENIDA,SAPOPEMBA,8151,JARDIM ADUTORA,03988010,SP,7107,8219999,
37580589,1,,AVENIDA,NICOLAS BOER,399,PARQUE INDUSTRIAL TOMAS EDSON,01140060,SP,7107,4110700,"6810201,6810203"
37420829,2,,FAZENDA,SAO PEDRO,S/N,CHAPEUZINHO,18290000,SP,6261,0115600,"0111302,0111303,0111399"
41002332,2,ITAPEMIRIM TRANSPORTE URBANO,RUA,ITORORO,221,VILA CARDOSO,12216783,SP,7099,4921301,
40299810,2,,RUA,PLINIO DA SILVA REIS,110,VILA OLIVEIRA,14680000,SP,6603,4729602,"4721102,4729699,5611203"
39685211,2,PATENSE BIOMASSA SERVICOS ADMINISTRATIVO,SITIO,SITIO SAO JOSE-ESTRADA MUNICIPAL ADAMANTINA A MARIAPOLIS- KM,S/N,ZONA RURAL,17800000,SP,6101,0210107,1610203
41132641,1,,RUA,JOAQUIM FLORIANO,1120,ITAIM BIBI,04534004,SP,7107,7020400,7490104
38150446,1,,AVENIDA,NICOLAS BOER,399,PARQUE INDUSTRIAL TOMAS EDSON,01140060,SP,7107,4110700,"6810201,6810203"
39986975,1,,AVENIDA,NICOLAS BOER,399,PARQUE INDUSTRIAL TOMAS EDSON,01140060,SP,7107,4110700,"6810201,6810203"
37789763,1,,AVENIDA,REPUBLICA DO LIBANO,1921,IBIRAPUERA,04501002,SP,7107,4110700,"6463800,6810201,6810202"
37642851,1,,RUA,PALESTRA ITALIA,73,PERDIZES,05005030,SP,7107,6462000,
38177575,1,GRUPO INTERAGIR AVALIACAO E INTERVENCAO INFANTIL,RUA,RIO GRANDE DO SUL,136,BRASIL,13301480,SP,6579,8650003,"8650002,8650004,8650005,8650006"
40000553,1,,AVENIDA,NICOLAS BOER,399,PARQUE INDUSTRIAL TOMAS EDSON,01140060,SP,7107,4110700,"6810201,6810203"
39373334,1,MALIBU STORE,RUA,ANTONIO AGU,102,CENTRO,06013006,SP,6789,8599604,"3319800,4752100,9511800,9512600,9521500,9529199"
40015271,2,,SITIO,SAO SEBASTIAO,S/N,MORRO AZUL,18467899,SP,6565,0111302,"0111399,0121101,0151202,0119999"
41252769,1,,RUA,PROF JOSE LEITE E OITICICA,530,VILA GERTRUDES,04705080,SP,7107,6202300,"6203100,6204000,6462000,7020400"
40058130,2,EDIFICIO ARENA TOWER,RUA,BARAO DE TEFE,72,AGUA BRANCA,05003040,SP,7107,4110700,
40875826,2,,FAZENDA,SANTA RITA,SN,CACHOEIRA,14990000,SP,6531,0139306,
37362427,1,,AVENIDA,PADRE MANUEL DA NOBREGA,385,JARDIM,09080140,SP,7057,6810201,4110700
37412934,1,ALL,PASSEIO,DAS CARAVELAS,671,RIVIERA,11262033,SP,2965,4110700,"4120400,6810201,6810203,7112000"
38490665,2,,FAZENDA,ATALAIA,SN,ZONA RURAL,19430000,SP,6675,0115600,0111302
40378402,2,,RUA,COMENDADOR TORLOGO DAUNTRE,74,CAMBUI,13025270,SP,6291,4110700,"4120400,6810201,6810202"
40270544,2,BRZ EMPREENDIMENTOS PORTAL VILA DOS FLAMINGOS SPE LTDA.,RUA,BENEDITO FAUSTINO DA ROSA,1871,JARDIM WANDERLEY,18277430,SP,7181,4110700,
39777597,1,,RUA,DR GUILHERME BANNITZ,126,ITAIM BIBI,04532060,SP,7107,6204000,
37357158,1,JUS CONCILIA - NUCLEO DE SOLUCAO DE CONFLITOS,RUA,DOS LIBANEZES,1925,VILA NOSSA SENHORA DO CARMO,14801425,SP,6163,6911702,8599604
37069482,2,HERING,RUA,JASMIM,215,CHACARA PRIMAVERA,13087460,SP,6291,4781400,
36893412,2,,RUA,GUAIANASES,689,CAMPOS ELISEOS,01204003,SP,7107,8720499,"9430800,9493600,9499500"
39999934,1,,AVENIDA,NICOLAS BOER,399,PARQUE INDUSTRIAL TOMAS EDSON,01140060,SP,7107,4110700,"6810201,6810203"
40118596,1,,RUA,DOUTOR JULIO CARDOSO,2266,CENTRO,14400730,SP,6425,6462000,6810202
38256860,2,,FAZENDA,SANTA PAULA,SN,ZONA RURAL,19230000,SP,6407,0115600,0111302
38256415,2,,FAZENDA,SANTA PAULO,SN,ZONA RURAL,19230000,SP,6407,0115600,0111302
38391432,2,,RUA,CONDE DOMINGOS PAPAIZ,413,JARDIM NATAL,08613901,SP,7151,7210000,"1099607,1099699,2063100,2110600,2121101,2121103,6202300,6463800,7020400,7120100,7319002,7319003,8299799"
38421377,2,,FAZENDA,BEIRA RIO,SN,ZONA RURAL,19275000,SP,7255,0115600,0111302
40623939,2,,SITIO,BOM JESUS,SN,ZONA RURAL,15690000,SP,6515,0113000,
39413451,2,,ESTANCIA,POR DO SOL,S/N,CORREGO DO MARIMBONDO,15718000,SP,2987,0141501,
37258244,2,SODERO RESIDENCIAL,AVENIDA,CARLOS MARTINS SODERO,104,VILA INDEPENDENCIA,13418385,SP,6875,4110700,
37365024,1,FULL WASH,AVENIDA,BRIG FARIA LIMA,2369,JARDIM PAULISTANO,01452922,SP,7107,8129000,4612500
40852213,2,,RUA,JOAO PEDRO MIZIARA,SN,TERRA PRETA (TERRA PRETA),07661505,SP,6671,4711302,"4721102,4722901,4759899,4761003,5611201,5611203,5620102"
40606504,1,AMIGOS DO BEACH TENNIS,RUA,RICARDO SEVERO,39,JARDIM VIRGINIA,11442510,SP,6475,9319101,"8591100,8592999,8599699,9493600,9499500"
41245544,2,CONSOMINIO RESIDENCIAL ANDALUZ,RUA,PASCHOAL GOBBO,90,SAO MANOEL,13472110,SP,6131,4110700,
40919237,1,,RUA,SALESOPOLIS,194,JARDIM ALTO DA BARRA,13090840,SP,6291,8610102,"8599699,8630501"
38480878,2,,RUA,OSCAR FREIRE,562,CERQUEIRA CESAR,01426000,SP,7107,5611203,"4723700,4729699,4781400"
38480878,2,,AVENIDA,DAS NACOES UNIDAS,13947,VILA GERTRUDES,04794905,SP,7107,5611203,"4723700,4729699,4781400"
37795338,2,,FAZENDA,FAZENDA LUA AZUL,1,FAZENDA LUA AZUL,17580000,SP,6901,0116401,
36654323,1,IURA HOLDING,RUA,STA CRUZ,2105,VILA MARIANA,04121002,SP,7107,6462000,"6810201,6810202,6810203,7490104"
39439412,1,,AVENIDA,PRES JUSCELINO KUBITSCHEK,1726,VILA NOVA CONCEICAO,04543000,SP,7107,7319001,"5912099,6110803,6190601,6190602,7311400,7312200,7410202,9319101,9329899"
40203822,2,,ESTRADA,PARANAPOLIS,S/N,SEDE,16914899,SP,6141,0151202,"0121101,0151201"
40420308,1,KIKKIN KASH,AVENIDA,BRIG FARIA LIMA,2092,JARDIM PAULISTANO,01451905,SP,7107,6619302,"8211300,8219999"
40931002,1,ATOL INCORPORADORA LTDA,AVENIDA,CASSIANO RICARDO,401,PARQUE RESIDENCIAL AQUARIUS,12246870,SP,7099,4110700,
38403744,1,,AVENIDA,DOS EUCALIPTOS,389,INDIANOPOLIS,04517050,SP,7107,4511102,"4530703,7490104"
37877013,1,BEIJA FLOR,RUA,SATURNINO IGNACIO DA SILVA,240,BARREIRO,07611445,SP,6671,8660700,"8610101,8610102,8630502,8630503,8630599,8640202,8640205,8640207,8640299,8690999,8711502,8720401,8720499,8730199"
40441903,1,,RUA,LEOPOLDO COUTO MAGALHAES JR.,110,ITAIM BIBI,04542000,SP,7107,7020400,"6462000,7490104"
39908202,1,RESDIL,RUA,SAO JOSE,141,CENTRO,13920029,SP,6843,6462000,"4110700,6630400,6810201,6810202,6810203,8211300"
39712993,1,,RUA,PASTOR JORGE,925,VILA LIBERDADE,19050270,SP,6929,6462000,
40299810,2,,RUA,BARUEL,00261,VILA COSTA,08675000,SP,7151,4729602,"4721102,4729699,5611203"
40915012,1,,AVENIDA,PEREIRA BARRETO,1395,PARAISO,09190610,SP,7057,4110700,"6810201,6810202,6810203"
37130817,1,,RUA,BERGAMOTA,470,ALTO DA LAPA,05468915,SP,7107,6462000,
38461854,1,,AVENIDA,BRIG FARIA LIMA,3477,ITAIM BIBI,04538133,SP,7107,6461100,
40011095,1,CAIXA CONSORCIO,AVENIDA,DAS NACOES UNIDAS,12995,BROOKLIN PAULISTA,04578911,SP,7107,6493000,6499999
37455034,1,IDEAL PAY,AVENIDA,ENG LUIZ CARLOS BERRINI,1307,CIDADE MONCOES,04571010,SP,7107,6619399,"6201501,6203100,6209100,6463800,7490104"
39277255,1,,FAZENDA,TERRA BOA,S/N,ZONA RURAL,14730000,SP,6731,0131800,"0113000,0151202,0151201,0111302"
